time,wheelspeed,airspeed,throttle,brake,gear_A,posx,posy,posz,gx,gy,gz
0.16350000631064,0.050649884991376,0.43492357148161,0,0,0,729.64862060547,763.91131591797,178.23175048828,-0.05122023075819,-1.6927090883255,-10.806304931641
0.42700001597404,0.059479263603349,0.15385984792645,0,0,0,729.63909912109,763.90093994141,178.17770385742,0.47787511348724,0.64105075597763,-10.975457191467
0.67750002536923,0.040699293567845,0.066324581670932,0,0,0,729.64093017578,763.90002441406,178.18203735352,0.11900275945663,0.58007609844208,-9.2679738998413
0.92800003476441,0.054997870856787,0.058797842692504,0.154757,0,0,729.64508056641,763.90826416016,178.17904663086,-0.014431280083954,0.19241498410702,-9.8923568725586
1.1910000443459,0.040906218607531,0.046112788405698,0.408728,0,0,729.65081787109,763.92071533203,178.17832946777,0.020637102425098,-0.097536265850067,-9.7414293289185
1.4485000530258,0.0075949275951151,0.0078059821897181,0.535164,0,0,729.65277099609,763.92468261719,178.17658996582,-0.01504192315042,-0.10070987045765,-9.8698835372925
1.7095000622794,0.019037282198939,0.021304342666284,0.574228,0,0,729.65130615234,763.92175292969,178.17727661133,-0.012968895025551,-0.093060173094273,-9.8406295776367
1.9605000698939,0.03467435995007,0.036194003145605,0.432532,0,0,729.64801025391,763.91424560547,178.17897033691,-0.01581360027194,-0.048751853406429,-9.8090572357178
2.220500077121,0.019097824681382,0.019073345241859,0.007935,0,0,729.64471435547,763.90753173828,178.1798248291,-0.0086154416203499,0.17776094377041,-9.8075714111328
2.48100008443,0.019108707114401,0.019752976508041,0,0,0,729.64581298828,763.90966796875,178.1802520752,-0.010175878182054,0.10032279789448,-9.8067235946655
2.742000091821,0.018282174425115,0.018799386463343,0,0,0,729.64825439453,763.91491699219,178.18006896973,0.0013444512151182,-0.054889708757401,-9.7956027984619
2.9970001000911,0.0028015037157674,0.0039902144512771,0,0,0,729.64892578125,763.91632080078,178.17958068848,-0.0023536100052297,-0.08108101785183,-9.8249702453613
3.2595001077279,0.010360492201155,0.010687918614526,0,0,0,729.64794921875,763.91430664063,178.17971801758,-0.0019003369379789,-0.0068132262676954,-9.8080587387085
3.5155001142994,0.0086532821667868,0.0087830272718851,0,0,0,729.64685058594,763.91180419922,178.17990112305,0.0038005574606359,0.036100592464209,-9.8085165023804
3.7715001208708,0.0016989455286099,0.0022596704471731,0,0,0,729.64660644531,763.91137695313,178.17999267578,0.0043595633469522,0.0080050583928823,-9.8060216903687
4.0280001275241,0.0020349134880573,0.004145064144413,0,0,0,729.64666748047,763.912109375,178.1802520752,0.023124037310481,-0.0018882229924202,-9.811993598938
4.2840001340955,0.00015675738085748,0.0020629325863742,0,0,0,729.64691162109,763.91217041016,178.18034362793,-0.041266817599535,-0.0057448116131127,-9.8113460540771
4.5380001403391,7.4302776181129e-05,0.0011628116331761,0,0,0,729.64685058594,763.912109375,178.1802520752,-0.0148591902107,0.006088400259614,-9.8285493850708
4.7945001469925,9.146189027175e-05,0.00066607195875934,0,0,0,729.64685058594,763.91217041016,178.18034362793,-5.4065836593509e-05,-0.0017547763418406,-9.8120040893555
5.050000153482,0.00010912479176891,0.00054448561323224,0,0,0,729.64685058594,763.91217041016,178.18029785156,0.0034328019246459,0.013832073658705,-9.8102216720581
5.3070001602173,0.13893761059062,0.13963424746807,0,0,0,729.65252685547,763.92468261719,178.18263244629,0.16296693682671,1.2161911725998,-7.1917195320129
5.5605001682416,0.17934477834492,0.18121003908059,0,0,0,729.66973876953,763.96429443359,178.17427062988,0.17862868309021,0.17416328191757,-9.6327095031738
5.8205001791939,0.15414095149528,0.15886403175915,0,0,0,729.69012451172,764.00317382813,178.17434692383,-0.13839121162891,0.11679752916098,-9.9825963973999
6.0780001897365,0.21785192168114,0.21397536897319,0.15079,0,0,729.71038818359,764.04748535156,178.17697143555,0.012625247240067,0.83601206541061,-9.7546348571777
6.3305002013221,0.92473012819719,0.88568119152761,0.349203,0,0,729.77685546875,764.18878173828,178.17999267578,0.30861088633537,5.2276740074158,-8.7245635986328
6.5925002051517,2.3370268553915,2.2461462392996,0.325399,0,0,729.99127197266,764.6357421875,178.17430114746,-0.51374924182892,4.4791741371155,-8.6549510955811
6.8520002160221,3.1802325000972,3.2915959811535,0,0,0,730.34381103516,765.37341308594,178.15357971191,0.1241449713707,-0.93889576196671,-9.62464427948
7.1135002253577,3.0141672710237,3.0680924372297,0,0,0,730.69592285156,766.11389160156,178.12951660156,-0.002844076603651,-1.4385608434677,-9.1298913955688
7.3665002333,2.8050052162632,2.8316012608414,0,0,0,731.01110839844,766.77606201172,178.11418151855,-0.14708739519119,-1.0664584636688,-9.6994094848633
7.6295002410188,2.5696669500335,2.5968120395689,0,0,0,731.31286621094,767.41101074219,178.09873962402,-0.27956834435463,-0.88227754831314,-10.334729194641
7.8915002485737,2.3324663270611,2.3671076650251,0,0,0,731.58746337891,767.98474121094,178.09214782715,-0.29398503899574,-0.78111892938614,-8.1321744918823
8.1435002563521,2.1584528410996,2.1762505410189,0,0,0,731.82757568359,768.48889160156,178.07827758789,-0.48454275727272,0.11727724224329,-9.1524343490601
8.4050002638251,2.1516126123878,2.1703358791026,0,0,0,732.07275390625,769.0009765625,178.06805419922,0.11470295488834,-0.21114885807037,-9.4206209182739
8.6650002710521,2.1628885023867,2.1801313464952,0,0,0,732.31774902344,769.51019287109,178.05755615234,-0.020263852551579,0.24780662357807,-10.747643470764
8.9255002783611,2.1785989962579,2.1894643238536,0,0,0,732.56506347656,770.0234375,178.04754638672,0.28592023253441,-0.02074783295393,-10.114974021912
